plant_density,lower_side_absorbance_mean,lower_side_absorbance_std,lower_side_reflectance_mean,lower_side_reflectance_std,lower_side_transmittance_mean,lower_side_transmittance_std,upper_side_absorbance_mean,upper_side_absorbance_std,upper_side_reflectance_mean,upper_side_reflectance_std,upper_side_transmittance_mean,upper_side_transmittance_std
High,0.9077969655172414;0.9082871724137932;0.9087898275862069;0.9093476896551724;0.9100504827586208;0.9106892068965518;0.911124551724138;0.9117847931034484;0.912753103448276;0.913014448275862;0.9134929310344828;0.9137578275862068;0.9145503103448276;0.9152706206896551;0.9155338620689656;0.9159188275862068;0.9166201724137932;0.9167337586206896;0.9169082413793104;0.917124827586207;0.916760448275862;0.9176460344827586;0.918065896551724;0.917595448275862;0.917931724137931;0.918676103448276;0.9197865172413792;0.9204753103448275;0.9206203448275864;0.9207704137931036;0.9210124137931036;0.9213249655172412;0.922046103448276;0.9224739655172414;0.922332;0.9223902758620688;0.9225685172413792;0.922475;0.9223524137931034;0.922608103448276;0.922574;0.9221672413793104;0.9219648275862068;0.9215385862068964;0.9212331724137932;0.9209735862068966;0.9205177931034484;0.920265448275862;0.919771448275862;0.9192365172413792;0.9189412068965516;0.918554724137931;0.9182795172413794;0.9180787586206896;0.917794275862069;0.9177870344827588;0.9178060344827588;0.9176841724137932;0.9176392413793104;0.9179123448275862;0.9182747931034484;0.9185878275862068;0.9186426206896552;0.9188885172413792;0.9193251724137932;0.9194585862068966;0.9196909655172414;0.9200969310344828;0.920512551724138;0.9206162413793104;0.9207764137931034;0.9210043448275862;0.9208028275862068;0.9207763103448277;0.9210272758620688;0.9209917241379312;0.9211661724137932;0.9215690689655172;0.9214420344827586;0.9213703793103448;0.9214820689655172;0.9215865172413792;0.9217445172413792;0.921701275862069;0.921227275862069;0.9210399655172414;0.9210543793103448;0.9209060689655172;0.9206142413793104;0.9204894827586207;0.920385551724138;0.9197476896551724;0.9187669655172414;0.9178469655172412;0.9174237241379308;0.916819448275862;0.9154856551724138;0.9142645172413792;0.9134379655172414;0.9121623793103448;0.9105580344827586;0.9087325862068966;0.9071863103448276;0.9053266206896552;0.9023997586206896;0.8994240689655172;0.8971658275862069;0.8946608620689654;0.8910663448275863;0.887267275862069;0.8836294137931034;0.8795592413793103;0.875033275862069;0.870158;0.865341;0.8600833448275862;0.8544345172413794;0.8488643793103448;0.8429178275862069;0.8369192068965517;0.8308871379310345;0.8243002068965517;0.8179258965517241;0.8121173448275862;0.8062304137931035;0.8004326896551723;0.7949807586206896;0.7897489310344828;0.7854256551724138;0.7811613448275863;0.7769089310344828;0.7730358275862069;0.7701352068965517;0.7673545517241379;0.764335275862069;0.7621275517241379;0.7602394137931034;0.7587006206896552;0.7570493448275862;0.7558243103448276;0.7550775517241379;0.7540222413793103;0.7530646206896552;0.7520982068965517;0.7512385172413794;0.7503470344827586;0.7492915862068965;0.7484723103448276;0.7478318965517242;0.7470992068965516;0.7466853793103448;0.7465986896551724;0.7464474137931035;0.746449724137931;0.7465486551724138;0.7472696206896552;0.7484232413793104;0.7495254137931034;0.7511032413793104;0.7530136551724137;0.7549495172413794;0.757145551724138;0.7597267931034483;0.7626806896551724;0.7659914482758621;0.7693368965517242;0.7727319655172414;0.7766151379310344;0.7805292413793103;0.7842444827586207;0.7882371724137931;0.792074275862069;0.7955640344827586;0.7991308620689656;0.8025576206896552;0.8056168275862068;0.808551275862069;0.8112618275862068;0.814010172413793;0.8168466206896552;0.8191628275862068;0.8210783103448276;0.8231259655172414;0.8250979310344827;0.8268024137931035;0.8286305517241379;0.8302634482758621;0.831718724137931;0.8331993448275862;0.8345877586206897;0.835856724137931;0.8369656551724137;0.8378369655172414;0.8385915517241379;0.8394574137931035;0.840207551724138;0.8409271379310346;0.8416491724137931;0.8423114137931035;0.8428599655172413;0.8433519310344827;0.8439892068965518;0.8449364137931035;0.8458875172413793;0.8468516896551724;0.8481365862068965;0.8494109655172414;0.85072;0.8525277586206896;0.8542975862068964;0.8556055172413793;0.8570017586206897;0.8587942068965517;0.8605400344827586;0.8619802413793103;0.8636763103448276;0.8654019655172414;0.866808551724138;0.8681376896551724;0.8693455862068965;0.8703570689655172;0.8712535172413793;0.8721638965517242;0.8726322413793104;0.8730649655172414;0.8736355862068966;0.8736916206896552;0.8738382068965517;0.8743582413793104;0.8746830344827586;0.8749453103448276;0.8753017931034484;0.875663896551724;0.876312;0.8773269310344828;0.8787165172413793;0.8802535172413793;0.8820799655172413;0.8840750344827587;0.886198448275862;0.8884574827586207;0.8905853793103449;0.8929424137931035;0.8952862758620689;0.8974357241379309;0.8995024482758621;0.9014323448275864;0.9031187241379312;0.9044422413793104;0.9056511379310344;0.9066761379310344;0.9075645172413792;0.9082060689655173;0.9087175862068966;0.9091989310344828;0.9097954827586208;0.910666448275862;0.9115676206896552;0.9124940344827586;0.9134034482758622;0.914555551724138;0.9155824827586206;0.916541551724138;0.917582896551724;0.9184552413793104;0.9189045172413792;0.9190340344827586;0.9191110344827584;0.9189304137931036;0.9185258620689656;0.917904;0.9169689655172412;0.9159353103448276;0.9146124137931034;0.9130599655172414;0.911360896551724;0.9094363103448276;0.906884551724138;0.9044680689655172;0.902176448275862;0.8996960689655172;0.8970205172413792;0.8941838275862068;0.8917339999999999;0.889006724137931;0.8857494137931035;0.8824692758620689;0.878714275862069;0.8739164137931034;0.8677458620689655;0.8605093793103448;0.8522678620689655;0.8421817586206897;0.8306127586206896;0.8179201379310345;0.8039132068965518;0.7886739310344828;0.7730095517241379;0.7567127586206897;0.7399306896551724;0.7226956206896551,0.0127087316903513;0.0125022089792991;0.0125067089369465;0.0125493773667502;0.0123430770955703;0.0121261114906731;0.0121920132070906;0.0122141311116594;0.0117716488022974;0.0113855927368953;0.0111749738316441;0.0112365089490494;0.011667258877803;0.0117557603430761;0.0113345735149589;0.0112117257785542;0.0110253449575737;0.0109303035497489;0.0110466435809226;0.0110594748133798;0.0112895292277724;0.0109872402569095;0.01037302008077;0.0102847883566883;0.010865842922718;0.0106794101875151;0.0104133120078535;0.0105760728874982;0.010610635487485;0.0103150487517622;0.0100832372689856;0.0101562176926352;0.0102334036348226;0.0103038681761572;0.0100997206361647;0.0101524987842422;0.0104712386687832;0.0104728566405869;0.0104866466876323;0.0105178554486604;0.0107349064704156;0.0107876493721;0.0107163032540843;0.0109149631912121;0.0110011182680572;0.0109587356332654;0.0109570377396034;0.0110049071670849;0.0110811275940744;0.0110503944939946;0.0110634430522306;0.0111659041662443;0.0111749804685693;0.0111723316681855;0.011053093047703;0.0110657745596913;0.011090033667612;0.0110083914877598;0.0110132006787152;0.0109397576993142;0.0108483573357553;0.0109303617900812;0.0108683399850003;0.0107358730452783;0.0105424291219168;0.0103493285686879;0.0103918444447101;0.0104181746205199;0.010115299644549;0.0099836499253786;0.0097523346564415;0.009354182468958;0.0093585454458515;0.0094522972684023;0.0093270680621226;0.0091026505201842;0.0088126133794893;0.0085428174004792;0.0084251467493906;0.008407625341718;0.008499361584979;0.0086750101589923;0.0085594220666914;0.0089513546815813;0.0086411137092083;0.0084704034373591;0.0087464375867051;0.0088769265310653;0.0090805954401018;0.0089594556260837;0.0092333656399967;0.0096654340679389;0.009748453076854;0.0097275989824341;0.0096370126665615;0.009696309605744;0.0105119645040301;0.0108896382782005;0.0102321357025052;0.0104417081847402;0.0105110549473357;0.0105346565254105;0.0109982359822689;0.0110900067480779;0.0113318529617533;0.0123723643944623;0.0126342264647294;0.0125812978342689;0.0128559427344373;0.0129201300355479;0.0134060972442639;0.0142468541130393;0.0143820632209919;0.0147183491577205;0.0152280424335218;0.0155107544379372;0.0161593219660194;0.0164569488870936;0.016803861442004;0.0172476939356692;0.0175175146796491;0.0180312830190424;0.0186840946727133;0.0190811567002554;0.0194755564499951;0.0203028505442382;0.0209043576124609;0.0212865822408171;0.0217669564794173;0.0221474462543908;0.0223422491432887;0.02253554452743;0.0226621936467817;0.0229143814925197;0.0234979120393046;0.0238765439614252;0.0239425989049363;0.0240274081882304;0.0241180850997098;0.0241355988740157;0.0242672307702415;0.0244293541281431;0.0243546716953175;0.0242139910063513;0.0241916554320768;0.0243800910543869;0.0246674300322122;0.0249673319575564;0.0248454868441862;0.0249037344322081;0.0250059542129666;0.024854390593879;0.0249234961353413;0.0249112040970331;0.025056521864542;0.0251411207620585;0.0252780687901802;0.0254407987148837;0.0252210511076634;0.0249404898870375;0.0246711964033547;0.024539742291967;0.0246001759566577;0.0244149574706388;0.0243315885550717;0.0242025401225114;0.023710673962348;0.0234890319157141;0.0234332655819139;0.0231901253317328;0.0229834013848953;0.0228551925655177;0.0225233916113301;0.0222175481573271;0.0221272068946382;0.0220212478027617;0.0218509726816786;0.0218163082824834;0.0216657045648333;0.0213000570160434;0.0211448884553841;0.0209712394774766;0.0206590537701352;0.0207204789139548;0.020824061720446;0.0206583136837486;0.0206505552149265;0.0205099260357664;0.0203176694727869;0.0202907579025792;0.0203479514691924;0.0201072073934338;0.0200734283346395;0.0203298530396385;0.0201824911132631;0.0200437228837826;0.0200497172543728;0.0200546262779385;0.0198840145944949;0.0199040905280489;0.0199694072269327;0.0197464126965946;0.019729355696013;0.0198432399097466;0.0197733087864558;0.0196384137807171;0.0196387408391874;0.0196132689141815;0.0192974436476055;0.0191661162294988;0.0192476292020985;0.0191888376642239;0.0189601423864064;0.0187144134835822;0.0187197574382468;0.0185712758583622;0.0183208380588154;0.0183317398862235;0.0182337513930768;0.0180308326317474;0.0181622948418872;0.0183105594976167;0.0182365509375007;0.018074765585627;0.0179931609239311;0.0180583950313524;0.018052094730873;0.0179574971736425;0.0177962810755007;0.0178037516421254;0.0177333486989575;0.0178351780526562;0.0179265348821732;0.0177204266939113;0.0174634682959498;0.0172046732451652;0.017130587529789;0.0171059914367592;0.0168961553984558;0.0164706293760096;0.0161537647284302;0.0159393656788418;0.0158686716576972;0.0156794466281192;0.0151894781883864;0.014833092803367;0.0147591977914883;0.0145964162355416;0.0143700344607777;0.0142065338834036;0.0140022532210359;0.0138112892245559;0.0136561171299349;0.0136766779527288;0.0137110976817296;0.0136772081649432;0.0135648139542457;0.0132340193910936;0.0129103938096479;0.0127877409866587;0.0127168956386662;0.0124807198241948;0.012180202366329;0.0120514932754197;0.0120065901893655;0.0118537098250194;0.011742944916851;0.0114407987716978;0.0113305109628738;0.0114901445835865;0.0112985516612908;0.0112088006797043;0.011280942862391;0.0111873529057121;0.011174518095978;0.0112078841712456;0.0112476207169829;0.0114831187201854;0.0116407833374459;0.0117201330519818;0.0117369008775468;0.0120673116180527;0.012336704121294;0.0123623110212335;0.0126607091679521;0.013202397954585;0.0135955671633297;0.0139564048146273;0.014745850686397;0.0157424827088181;0.0168450548814222;0.0182336283939556;0.019666625879275;0.0209280291571839;0.0223735115063137;0.0242538456234695;0.025916606855907;0.0273800858166585;0.0288832933639292;0.030329605480105;0.0316021223738146,,,,,,,,,,
High,,,0.0899033448275862;0.0894673793103448;0.0890284827586206;0.0885132758620689;0.0879455862068965;0.0874301724137931;0.0870309310344827;0.0864459310344827;0.085671;0.0853420689655172;0.0848651034482758;0.0845002068965517;0.083907724137931;0.0833853103448275;0.0832397586206896;0.082636448275862;0.0819203103448275;0.0820646206896551;0.0820927586206896;0.0815965862068965;0.0814518620689655;0.0808100344827586;0.0802834827586207;0.0803925172413793;0.0800945862068965;0.0794850344827586;0.0789891034482758;0.0787789310344827;0.0784358965517241;0.078005448275862;0.077963448275862;0.0777417931034482;0.0772723103448275;0.0768347586206896;0.0767356896551724;0.0765882758620689;0.0764242068965517;0.0765143448275862;0.076581448275862;0.0764422068965517;0.076612448275862;0.0769121034482758;0.0770560689655172;0.0773576206896551;0.0776358620689655;0.0778312758620689;0.0781014827586207;0.0783006206896551;0.0786883103448275;0.0789881379310344;0.0791972068965517;0.0794656551724138;0.0796331034482758;0.0797077931034482;0.079865448275862;0.0799143793103448;0.079801724137931;0.079792724137931;0.0797630689655172;0.0794813793103448;0.0791099655172413;0.0788589655172413;0.0787782068965517;0.0784773793103448;0.0780215517241379;0.0778460344827586;0.0776649310344827;0.0773663793103448;0.0770311724137931;0.0767535517241379;0.0766545172413793;0.0764037586206896;0.076349448275862;0.0764685517241379;0.0764083448275862;0.0762237931034482;0.0759768965517241;0.0756855517241379;0.0755268965517241;0.0756063448275862;0.075600448275862;0.0754375862068965;0.0752540344827586;0.0751701724137931;0.0753813793103448;0.0755429310344827;0.0754380689655172;0.0756858620689655;0.0758875862068965;0.0757652068965517;0.0758667931034482;0.0762055172413793;0.0767441724137931;0.0773666206896551;0.0777076206896551;0.0780233448275862;0.0788728620689655;0.0795414137931034;0.0799437931034482;0.0808084137931034;0.0816265172413793;0.0825361724137931;0.0831766896551724;0.0840823793103448;0.0856532068965517;0.0870797931034482;0.08817;0.0891921379310344;0.0906297931034482;0.0924219310344827;0.0939938620689655;0.0956041379310344;0.0973795862068965;0.0993256551724138;0.1012357586206896;0.1031906551724138;0.1053216551724137;0.1073261034482758;0.1094210344827586;0.1114720344827586;0.1135679310344827;0.1160129655172413;0.1183194827586206;0.1200330344827586;0.1220094137931034;0.1240132413793103;0.1256021034482758;0.127296448275862;0.1287321724137931;0.130086;0.1314636551724138;0.1325977586206896;0.1333746896551724;0.1341694137931034;0.1349574137931034;0.1357156206896551;0.1363733448275862;0.1366932413793103;0.1371200344827586;0.1374421034482758;0.1374413448275862;0.1376599310344827;0.1380208620689655;0.1382359310344827;0.1383586551724137;0.1386371379310344;0.138968724137931;0.1391372758620689;0.1391526206896551;0.139232;0.1393387931034482;0.1391736206896551;0.1390127586206896;0.1388560689655172;0.1388170344827586;0.1384513448275862;0.1379145517241379;0.1375087586206896;0.1368432068965517;0.1360865862068965;0.1353975517241379;0.1343578620689655;0.1333162413793103;0.1324206551724138;0.1311771034482758;0.1298190344827586;0.1285698620689655;0.127116;0.1256163103448276;0.1244001724137931;0.1229260689655172;0.1215376551724138;0.120443724137931;0.1190889655172413;0.1179416206896551;0.1168759655172413;0.1157356896551724;0.1150160344827586;0.1140389310344827;0.1128605517241379;0.1121504137931034;0.1115712413793103;0.1108642068965517;0.1100977586206896;0.1094506551724138;0.1088146551724138;0.1082475862068965;0.1077782413793103;0.1072160344827586;0.106681;0.1061565172413793;0.1056498965517241;0.105375724137931;0.1051379655172413;0.1047790344827586;0.1044385172413793;0.1041272413793103;0.1038456206896551;0.1036093448275862;0.1034513103448275;0.1032662413793103;0.1029326551724138;0.1024658275862069;0.1020381724137931;0.1016513103448275;0.1012045517241379;0.1008331379310344;0.1004267931034482;0.0996022068965517;0.0988778965517241;0.0984988275862069;0.0981418275862068;0.0974518620689655;0.0966926896551724;0.0962226206896551;0.0955473103448275;0.0949211379310344;0.0944064137931034;0.0938935172413793;0.0934410689655172;0.0930428620689655;0.0926846896551724;0.0922977931034482;0.0922759310344827;0.0921061034482758;0.0917557586206896;0.0919367931034482;0.0918656206896551;0.0914523103448275;0.0913097931034482;0.0911582413793103;0.0910069310344827;0.0908987931034482;0.0906192068965517;0.0901648620689655;0.0895133793103448;0.088908724137931;0.0881694827586206;0.0873329310344827;0.0864704137931034;0.0855287931034482;0.0846147931034482;0.0836483448275862;0.0827634827586207;0.0818648275862069;0.0809183448275862;0.0801052413793103;0.0794879655172413;0.0791452413793103;0.0788319655172413;0.0784486206896551;0.0780805862068965;0.0778992758620689;0.0778092758620689;0.077669448275862;0.0775235172413793;0.0772420689655172;0.0769473448275862;0.0767605862068965;0.0764941379310344;0.0760699655172413;0.0758259655172413;0.0755658965517241;0.0752475862068965;0.0751758275862068;0.0752903103448275;0.0755995517241379;0.0759258620689655;0.0763821379310344;0.0771261034482758;0.0781054827586206;0.0792284137931034;0.0803793793103448;0.081843724137931;0.0835834137931034;0.0853734827586206;0.0873488620689655;0.0898071034482758;0.0921360344827586;0.0943581034482758;0.0966498275862069;0.0990118620689655;0.1013016206896551;0.1031327931034482;0.1048991724137931;0.106809448275862;0.1083556896551724;0.109771724137931;0.1115029655172413;0.1136327931034482;0.1159663793103448;0.1184714137931034;0.1216467586206896;0.1251857931034482;0.1290633103448276;0.1334530689655172;0.1382190689655172;0.1430797931034483;0.148191724137931;0.1533392758620689;0.1585930344827586,0.0126203050485994;0.0124026763195166;0.0123235031215637;0.0123612914024169;0.0122047109537881;0.0119827879866706;0.0120283536634161;0.0120113644815799;0.0115734723644819;0.0113483819171691;0.0112676553092241;0.0112532320194794;0.0116026519102209;0.0115302083772009;0.0111721951854182;0.0110688190800819;0.0110181809235704;0.0110431041844925;0.0109790202973514;0.0107949068629517;0.0108706123093547;0.0109147250684658;0.010604275083396;0.01023984104097;0.0103485657926843;0.0106034873794384;0.0103989366054722;0.0101598717157643;0.0098262938673483;0.0098178560926588;0.0098570633905199;0.0098194696262771;0.0099135384201297;0.0098623037900278;0.0098715940965676;0.009959561109437;0.0101141408447328;0.0101972041801237;0.0102648137224285;0.0104106248796235;0.0106241464618044;0.0106702767079692;0.0106106156241589;0.0107274123674344;0.0107642727301414;0.0107688750835005;0.0107674494115388;0.0107939481304962;0.0108213853387746;0.0108031110787724;0.0108257346414501;0.0108840064290809;0.0108833038292108;0.0108677290385648;0.0107234425362187;0.0107145948307296;0.0107216013159567;0.0106458070615905;0.010674863260854;0.0105466321144774;0.01050841048359;0.0105877122393392;0.0104078918318858;0.0102609780632876;0.0100398096794219;0.0098365733489243;0.0098939901236307;0.0100424339267138;0.0098092159729983;0.009477292540542;0.0091374183624287;0.0089154972966625;0.0089187448691994;0.0088760507047504;0.0087764350364072;0.0084721440420917;0.0082641968858133;0.0080979666609508;0.0080055012395264;0.008135177372181;0.0082082917205983;0.0082380850345784;0.0079688693878239;0.008319573744528;0.008144795671443;0.0080846712007134;0.0084280098690151;0.0083640721700622;0.008540013204729;0.0085881842350793;0.0087859447064181;0.009176192715861;0.0093216899604745;0.0093376622396071;0.0092607551736723;0.00952172589501;0.0100803295110687;0.0101738848406708;0.0095735357230951;0.0097503513765154;0.0096257560542413;0.0097518564059397;0.0101643172706688;0.010129048987279;0.0105062990880277;0.0110601994956798;0.0110214890878812;0.0109048933076726;0.0110236578139255;0.0109425430608214;0.0111314394901626;0.0114619691674066;0.0114700010384768;0.0114961945948457;0.011557265475063;0.0117947525114102;0.011894785953385;0.0117775170689897;0.0117903846462238;0.0119273147303716;0.0119467413785727;0.0117522703505163;0.0119956252431003;0.0121465926717941;0.0121561842271955;0.0126418833154353;0.0129667770677462;0.0128445658703988;0.0128687966333546;0.0132039250738991;0.0131940653008298;0.0131512705569113;0.0131583942059362;0.0130286600383189;0.0129322081103102;0.013235536635496;0.0134674439649205;0.0133746424722713;0.0133614428179497;0.0133117336113263;0.0132863568619302;0.0133464595945651;0.0133464637149539;0.0133197291261899;0.013496505373815;0.0134857618666189;0.013370156244136;0.013505817859872;0.0134956502606628;0.0133805944241224;0.0134894263760793;0.0136763456517704;0.0135622719695252;0.0134377287460424;0.0135447700436176;0.0137010848143909;0.0137190894053978;0.0136624351172297;0.0135645527238653;0.0135584523440368;0.0135140708564555;0.0134372233439271;0.0133768649558406;0.0133856751104515;0.0135322750947102;0.0134621276562987;0.0134362557011248;0.0133844098567806;0.0133630295728375;0.0132993607152185;0.0131594321331318;0.0132052912805972;0.0131322546587089;0.0130608359814555;0.0131612613171431;0.0130376800069281;0.0128745849089909;0.0129420252209689;0.01299759368095;0.0128924621985822;0.0128089452267803;0.012843644875566;0.0127784472239652;0.0127881023853512;0.0127972171647808;0.0127497907077384;0.0128405331234372;0.0128635655761733;0.0128700572550695;0.0127709416925411;0.0127633674117449;0.012839026087744;0.0129283796158919;0.013048455361467;0.0128850880768727;0.0126713265108407;0.0127459323025459;0.0127922697120839;0.0128285952668132;0.0129571121923263;0.0127594671005357;0.0126983911165263;0.0128687979210762;0.0128206472621007;0.0127136410349093;0.0126767336249924;0.0127325214950987;0.0128416237635369;0.0126994829292357;0.0125695268616058;0.0127067402335165;0.01273434023494;0.0125767553438991;0.0125167533647149;0.0125971283247237;0.0125545839269494;0.0124485874836239;0.0125266542235724;0.0124603408392406;0.0122797640622141;0.0124147227422125;0.0126880174717932;0.0126666346257156;0.0124487698070676;0.012451228617934;0.0126022135035736;0.0126125179297035;0.012469719940187;0.0123165517701745;0.0122630984064833;0.0122170714478177;0.0123762674529319;0.0124617821196858;0.0124139423040021;0.0122956692338752;0.0121193699518397;0.0120776658958844;0.0121583217522012;0.0122560312031349;0.0121145189295361;0.011946907774995;0.0118619196000698;0.012032886583015;0.0120574629694069;0.0116790022019647;0.0115297052721464;0.0116966074710794;0.0116726589224647;0.0116599921577257;0.0117345772322737;0.0116532967205906;0.011528070816543;0.0113729657392826;0.0113133764755852;0.0114834066019073;0.0115252217785314;0.0114741337392633;0.0113946524465139;0.0112663341848853;0.0112094990990554;0.0111999064616079;0.0110653842696258;0.0109281943984514;0.0109925705966648;0.0110670025980355;0.0111404781703718;0.0112379347256964;0.0110192399165023;0.0109576393597087;0.0111373378658868;0.0110745246161136;0.0110270871089501;0.0110982541948008;0.0110665360075724;0.0111292882442077;0.011249838769069;0.0112556058341868;0.0114624820309715;0.0115503943670544;0.011643542487898;0.0116825146695788;0.0119031869973793;0.0120834399353997;0.0121139065050382;0.0122846669007372;0.0124172561168095;0.0123948538201011;0.0123855680961367;0.012576725881231;0.0127354645727683;0.0128296421740932;0.0130624396061959;0.0133248474814513;0.0134447158270433;0.0137123859367659;0.0140901905313363;0.0143843705729791;0.014770215774561;0.0150838349706293;0.0154748885638649;0.0157916769431666,,,,,,,,
